,Text,Lemma,POS,Tag,Dep,Shape,Is_Alpha,Is_Stop
8003,",",",",PUNCT,PUNCT,punct,",",False,False
8004,291:9,291:9,NUM,NUM,nummod,ddd:d,False,False
8005,(,(,PUNCT,PUNCT,punct,(,False,False
8006,Ni,ni,NOUN,NOUN,nmod,Xx,True,True
8007,.,.,PUNCT,PUNCT,punct,.,False,False
8008,",",",",PUNCT,PUNCT,punct,",",False,False
8009,SˇS,sˇs,ADP,ADP,case,XxX,True,False
8010,2,2,NUM,NUM,nummod,d,False,False
8011,iii,iii,NOUN,NOUN,ROOT,xxx,True,False
8012,1,1,NUM,NUM,nummod,d,False,False
8013,),),PUNCT,PUNCT,punct,),False,False
8014,et,et,CCONJ,CCONJ,cc,xx,True,True
8015,D.,d.,VERB,VERB,conj,X.,False,False
8016,l.,l.,NOUN,NOUN,flat:name,x.,False,False
8017,Owen,Owen,PROPN,PROPN,flat:name,Xxxx,True,False
8018,",",",",PUNCT,PUNCT,punct,",",False,False
8019,Neo-Sumerian,Neo-Sumerian,PROPN,PROPN,dep,Xxx-Xxxxx,False,False
8020,Archival,archival,NOUN,NOUN,ROOT,Xxxxx,True,False
8021,Texts,Texts,PROPN,PROPN,flat:name,Xxxxx,True,False
8022,primarily,primarily,NOUN,NOUN,ROOT,xxxx,True,False
8023,from,from,X,X,dep,xxxx,True,False
8024,Nippur,Nippur,PROPN,PROPN,nmod,Xxxxx,True,False
8025,(,(,PUNCT,PUNCT,punct,(,False,False
8026,Winona,Winona,PROPN,PROPN,appos,Xxxxx,True,False
8027,Lake,Lake,PROPN,PROPN,ROOT,Xxxx,True,False
8028,1982,1982,NUM,NUM,fixed,dddd,False,False
8029,),),PUNCT,PUNCT,punct,),False,False
8030,  ,  ,SPACE,SPACE,dep,  ,False,False
8031,130:20,130:20,NUM,NUM,nmod,ddd:dd,False,False
8032,(,(,PUNCT,PUNCT,punct,(,False,False
8033,Ni,Ni,PROPN,PROPN,dep,Xx,True,True
8034,.,.,PUNCT,PUNCT,punct,.,False,False
8035,",",",",PUNCT,PUNCT,ROOT,",",False,False
